,Title,Release Year,Genre,Imdb Rating,Runtime,Age Rating,Country origin,Url,Streaming Provider,Type
21,Gullak,2019,"Drama, Kids & Family, Comedy",9.1,29min,NA,India,https://www.justwatch.com/in/tv-show/gullak,Sony Liv,TV Show
22,"Thank You, Next",2024,"Drama, Romance, Comedy",5.6,44min,NA,Turkey,https://www.justwatch.com/in/tv-show/thank-you-next,Netflix,TV Show
23,Ranneeti: Balakot & Beyond,2024,"Action & Adventure, War & Military",7.9,40min,NA,India,https://www.justwatch.com/in/tv-show/ranneeti-balakot-and-beyond,Jio Cinema,TV Show
24,The Great Indian Kapil Show,2024,Comedy,6.6,51min,NA,India,https://www.justwatch.com/in/tv-show/untitled-kapil-sharma-netflix-project,Netflix,TV Show
25,The Family Man,2019,"Action & Adventure, Comedy, Drama",8.7,45min,NA,India,https://www.justwatch.com/in/tv-show/the-family-man,Amazon Prime Video,TV Show
26,Lucifer,2016,"Crime, Science-Fiction, Fantasy, Drama",8.1,47min,U,United States,https://www.justwatch.com/in/tv-show/lucifer,Netflix,TV Show
27,A Gentleman in Moscow,2024,"Drama, History, Mystery & Thriller",7.2,47min,NA,United Kingdom,https://www.justwatch.com/in/tv-show/a-gentleman-in-moscow,Amazon Prime Video,TV Show
28,Mastram,2020,"Drama, Fantasy, Comedy",7.0,28min,NA,India,https://www.justwatch.com/in/tv-show/mastram,NA,TV Show
29,Undekhi,2020,"Drama, Crime",,34min,NA,India,https://www.justwatch.com/in/tv-show/undekhi,Sony Liv,TV Show
30,Dil Dosti Dilemma,2024,"Drama, Comedy",6.6,40min,NA,India,https://www.justwatch.com/in/tv-show/dil-dosti-dilemma,Amazon Prime Video,TV Show
31,Jujutsu Kaisen,2020,"Mystery & Thriller, Animation, Action & Adventure, Fantasy, Science-Fiction",8.6,23min,NA,"United States, Japan",https://www.justwatch.com/in/tv-show/jujutsu-kaisen,Crunchyroll,TV Show
32,Gandii Baat,2018,"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",8.4,1h 2min,A,United States,https://www.justwatch.com/in/tv-show/gandii-baat,Jio Cinema,TV Show
33,House of the Dragon,2022,Drama,8.0,43min,U,United States,https://www.justwatch.com/in/tv-show/house-of-the-dragon,Netflix,TV Show
34,The Good Doctor,2017,"Crime, Drama, Mystery & Thriller",3.4,44min,A,India,https://www.justwatch.com/in/tv-show/the-good-doctor,Alt Balaji,TV Show
35,Inspector Rishi,2024,"Horror, Mystery & Thriller, Action & Adventure, Drama",7.2,45min,A,India,https://www.justwatch.com/in/tv-show/inspector-rishi,Amazon Prime Video,TV Show
36,Asur: Welcome to Your Dark Side,2020,"Crime, Drama, Mystery & Thriller",8.5,47min,NA,India,https://www.justwatch.com/in/tv-show/asur,Jio Cinema,TV Show
37,The Rookie,2018,"Crime, Drama, Comedy, Action & Adventure",8.0,42min,NA,United States,https://www.justwatch.com/in/tv-show/the-rookie,NA,TV Show
38,MTV Splitsvilla,2008,"Reality TV, Drama, Romance",3.8,43min,U,India,https://www.justwatch.com/in/tv-show/mtv-splitsvilla,Jio Cinema,TV Show
39,Queen of Tears,2024,"Comedy, Drama, Kids & Family",,1h 29min,NA,South Korea,https://www.justwatch.com/in/tv-show/queen-of-tears,Netflix,TV Show
40,Peaky Blinders,2013,"Drama, Crime",8.8,58min,A,United Kingdom,https://www.justwatch.com/in/tv-show/peaky-blinders,Netflix,TV Show
41,College Romance,2018,"Comedy, Drama, Romance",8.3,31min,A,India,https://www.justwatch.com/in/tv-show/college-romance,Sony Liv,TV Show
42,The Last of Us,2023,"Drama, Mystery & Thriller, Action & Adventure, Horror, Science-Fiction",8.7,58min,A,United States,https://www.justwatch.com/in/tv-show/the-last-of-us,Jio Cinema,TV Show
43,Reacher,2022,"Action & Adventure, Crime, Drama, Mystery & Thriller",8.1,48min,A,United States,https://www.justwatch.com/in/tv-show/jack-reacher,Amazon Prime Video,TV Show
44,True Detective,2014,"Drama, Crime, Mystery & Thriller",8.9,1h 1min,U,United States,https://www.justwatch.com/in/tv-show/true-detective,Jio Cinema,TV Show
45,Solo Leveling,2024,"Fantasy, Animation, Action & Adventure, Science-Fiction",8.3,24min,NA,"Japan, South Korea",https://www.justwatch.com/in/tv-show/solo-leveling-2024,Crunchyroll,TV Show
46,Money Heist,2017,"Mystery & Thriller, Action & Adventure, Crime, Drama, Made in Europe",8.2,50min,NA,Spain,https://www.justwatch.com/in/tv-show/paperhouse,Netflix,TV Show
47,The Gentlemen,2024,"Action & Adventure, Comedy, Crime, Drama",8.1,50min,A,"United States, United Kingdom",https://www.justwatch.com/in/tv-show/the-gentlemen,Netflix,TV Show
48,The GOAT,2024,Reality TV,6.2,46min,NA,United States,https://www.justwatch.com/in/tv-show/the-goat,Amazon Prime Video,TV Show
49,Broken But Beautiful,2018,"Drama, Romance",8.6,26min,NA,India,https://www.justwatch.com/in/tv-show/broken-but-beautiful,Alt Balaji,TV Show
50,Stranger Things,2016,"Drama, Science-Fiction, Mystery & Thriller, Fantasy, Horror",8.7,1h 1min,NA,United States,https://www.justwatch.com/in/tv-show/stranger-things,Netflix,TV Show
51,Bodkin,2024,"Drama, Mystery & Thriller, Comedy",7.0,50min,A,United States,https://www.justwatch.com/in/tv-show/bodkin,Netflix,TV Show
52,The Atypical Family,2024,"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",7.4,1h 13min,NA,South Korea,https://www.justwatch.com/in/tv-show/the-atypical-family,Netflix,TV Show
53,Naruto,2002,"Action & Adventure, Science-Fiction, Animation, Comedy, Fantasy",8.4,23min,NA,Japan,https://www.justwatch.com/in/tv-show/naruto,Amazon Prime Video,TV Show
54,Dehati Ladke,2023,Drama,7.2,24min,NA,India,https://www.justwatch.com/in/tv-show/dehati-ladke,Amazon miniTV,TV Show
55,Euphoria,2019,Drama,8.3,58min,A,United States,https://www.justwatch.com/in/tv-show/euphoria,Jio Cinema,TV Show
56,House,2004,"Drama, Mystery & Thriller",8.7,44min,U,United States,https://www.justwatch.com/in/tv-show/house,Amazon Prime Video,TV Show
57,Dark Desire,2020,"Mystery & Thriller, Drama",6.5,34min,NA,Mexico,https://www.justwatch.com/in/tv-show/dark-desire,Netflix,TV Show
58,Modern Family,2009,"Comedy, Drama, Romance",8.5,21min,NA,United States,https://www.justwatch.com/in/tv-show/modern-family,Hotstar,TV Show
59,Doctor Who,2005,"Science-Fiction, Action & Adventure, Drama",8.6,58min,NA,NA,https://www.justwatch.com/in/tv-show/doctor-who,Amazon Prime Video,TV Show
60,X-Men '97,2024,"Animation, Action & Adventure, Science-Fiction, Fantasy",9.0,33min,NA,United States,https://www.justwatch.com/in/tv-show/x-men-97,Hotstar,TV Show
61,How I Met Your Mother,2005,"Comedy, Drama, Romance",8.3,24min,U,United States,https://www.justwatch.com/in/tv-show/how-i-met-your-mother,Hotstar,TV Show
62,Breaking Bad,2008,"Drama, Crime, Mystery & Thriller",9.5,47min,U,United States,https://www.justwatch.com/in/tv-show/breaking-bad,Netflix,TV Show
63,Naruto Shippūden,2007,"Action & Adventure, Science-Fiction, Fantasy, Animation, Comedy, Drama",8.7,24min,U,Japan,https://www.justwatch.com/in/tv-show/naruto-shippuden,Crunchyroll,TV Show
64,Yellowstone,2018,"Drama, Western",8.7,50min,NA,United States,https://www.justwatch.com/in/tv-show/yellowstone,Netflix,TV Show
65,Maamla Legal Hai,2024,"Drama, Comedy",8.1,32min,NA,India,https://www.justwatch.com/in/tv-show/maamla-legal-hai,Netflix,TV Show
66,The Boys,2019,"Action & Adventure, Science-Fiction, Crime, Drama, Comedy",8.7,1h 0min,A,United States,https://www.justwatch.com/in/tv-show/the-boys,Amazon Prime Video,TV Show
67,Grey's Anatomy,2005,"Drama, Romance",7.6,48min,U,NA,https://www.justwatch.com/in/tv-show/greys-anatomy,NA,TV Show
68,9-1-1,2018,"Action & Adventure, Drama, Crime, Mystery & Thriller",7.9,44min,NA,NA,https://www.justwatch.com/in/tv-show/9-1-1,NA,TV Show
69,Scam 1992,2020,"Crime, Drama, Mystery & Thriller",9.3,52min,NA,NA,https://www.justwatch.com/in/tv-show/scam-1992,NA,TV Show
70,Ripley,2024,"Crime, Drama, Mystery & Thriller",8.2,56min,NA,United States,https://www.justwatch.com/in/tv-show/ripley,Netflix,TV Show
71,Dr. Arora,2022,"Comedy, Drama",7.1,37min,A,India,https://www.justwatch.com/in/tv-show/dr-arora,Sony Liv,TV Show
72,Sarkaar,2021,Reality TV,7.5,52min,NA,India,https://www.justwatch.com/in/tv-show/sarkaar,aha,TV Show
73,Maharani,2021,Drama,7.9,44min,UA,India,https://www.justwatch.com/in/tv-show/maharani-2021,Sony Liv,TV Show
74,The Walking Dead,2010,"Drama, Science-Fiction, Action & Adventure, Horror, Mystery & Thriller",8.1,46min,U,United States,https://www.justwatch.com/in/tv-show/the-walking-dead,Amazon Prime Video,TV Show
75,The Broken News,2022,"Drama, Mystery & Thriller",7.6,36min,UA,India,https://www.justwatch.com/in/tv-show/the-broken-news,NA,TV Show
76,The Railway Men - The Untold Story of Bhopal 1984,2023,"Drama, Mystery & Thriller, History",8.5,59min,NA,India,https://www.justwatch.com/in/tv-show/the-railway-men-the-untold-story-of-bhopal-1984,NA,TV Show
77,Paatal Lok,2020,"Drama, Crime, Mystery & Thriller",8.1,43min,A,India,https://www.justwatch.com/in/tv-show/paatal-lok,NA,TV Show
78,"Ashley Madison: Sex, Lies & Scandal",2024,Documentary,6.3,52min,NA,United Kingdom,https://www.justwatch.com/in/tv-show/ashley-madison-sex-lies-and-scandal,NA,TV Show
79,One-Punch Man,NA,"Action & Adventure, Animation, Comedy, Kids & Family, Fantasy, Science-Fiction",8.7,24min,NA,Japan,https://www.justwatch.com/in/tv-show/one-punch-man,NA,TV Show
80,Maigret,2016,"Drama, Mystery & Thriller, Crime",7.8,1h 28min,U,United Kingdom,https://www.justwatch.com/in/tv-show/maigret,NA,TV Show
81,Sugar,2024,"Drama, Mystery & Thriller, Crime",7.6,36min,A,United States,https://www.justwatch.com/in/tv-show/sugar,Apple TV Plus,TV Show
82,Kaiju No. 8,2024,"Animation, Action & Adventure, Fantasy, Horror, Science-Fiction",8.4,23min,NA,Japan,https://www.justwatch.com/in/tv-show/kaiju-no-8,Crunchyroll,TV Show
83,Loki,2021,"Fantasy, Science-Fiction, Action & Adventure",8.2,49min,NA,United States,https://www.justwatch.com/in/tv-show/loki,Hotstar,TV Show
84,Damaged,2018,"Drama, Crime, Mystery & Thriller, Horror",5.5,20min,NA,India,https://www.justwatch.com/in/tv-show/damaged,VI movies and tv,TV Show
85,Genius,2017,"Drama, History",8.2,51min,U,United States,https://www.justwatch.com/in/tv-show/genius,Hotstar,TV Show
86,Wednesday,2022,"Science-Fiction, Mystery & Thriller, Comedy, Crime, Fantasy, Kids & Family, Horror",8.1,49min,NA,United States,https://www.justwatch.com/in/tv-show/wednesday,Netflix,TV Show
87,Spartacus,2010,"Drama, Romance, Action & Adventure",8.5,53min,NA,United States,https://www.justwatch.com/in/tv-show/spartacus,Lionsgate Play,TV Show
88,Jurassic World: Chaos Theory,2024,"Kids & Family, Science-Fiction, Animation, Action & Adventure",7.7,24min,NA,United States,https://www.justwatch.com/in/tv-show/jurassic-world-chaos-theory,NA,TV Show
89,We Were the Lucky Ones,2024,Drama,7.4,56min,NA,United States,https://www.justwatch.com/in/tv-show/we-were-the-lucky-ones,NA,TV Show
90,Toughest Forces on Earth,2024,Documentary,5.6,41min,NA,United Kingdom,https://www.justwatch.com/in/tv-show/toughest-forces-on-earth,Netflix,TV Show
91,Dark,2017,"Drama, Science-Fiction, Crime, Mystery & Thriller",8.7,56min,NA,Germany,https://www.justwatch.com/in/tv-show/dark,Netflix,TV Show
92,The Flash,2014,"Animation, Action & Adventure, Science-Fiction, Fantasy",7.5,31min,A,United States,https://www.justwatch.com/in/tv-show/the-flash,Netflix,TV Show
93,Under the Dome,2013,"Action & Adventure, Drama, Science-Fiction",7.5,45min,NA,NA,https://www.justwatch.com/in/tv-show/under-the-dome,NA,TV Show
94,Goodbye Earth,2024,"Drama, Mystery & Thriller, Science-Fiction",6.5,43min,NA,United States,https://www.justwatch.com/in/tv-show/goodbye-earth,NA,TV Show
95,Better Call Saul,2015,"Drama, Science-Fiction, Mystery & Thriller",4.3,59min,NA,NA,https://www.justwatch.com/in/tv-show/better-call-saul,NA,TV Show
96,Scorpion,2014,"Crime, Drama",9.0,50min,A,NA,https://www.justwatch.com/in/tv-show/scorpion,NA,TV Show
97,Outer Range,2022,"Action & Adventure, Drama, Crime, Mystery & Thriller",7.0,NA,U,NA,https://www.justwatch.com/in/tv-show/outer-range,NA,TV Show
98,Invincible,2021,"Western, Mystery & Thriller, Drama",7.1,NA,NA,NA,https://www.justwatch.com/in/tv-show/invincible,NA,TV Show
99,DEATH NOTE,2006,"Science-Fiction, Action & Adventure, Drama, Animation, Fantasy, Mystery & Thriller",8.7,48min,NA,NA,https://www.justwatch.com/in/tv-show/death-note,NA,TV Show
